,,,,,,Author,Created At (UTC),Created At (UTC),Due Date,Title,Description,,,,,,,,,,,,,Assignee,Created At (UTC),Due Date,Closed At (UTC),,,Description,Description,,,,,Assignee,,,,,,,,,,Author,Due Date,Closed At (UTC),,,
,,,,,,Nomura,2020/9/18 10:13,2020/9/18 10:13,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/9/18 10:13,,2020/9/25 8:17,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/9/25 8:17,,,
,,,,,,Nomura,2020/9/18 10:55,2020/9/18 10:55,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/9/18 10:55,,2020/9/25 8:16,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/9/25 8:16,,,
,,,,,,Nomura,2020/9/18 11:04,2020/9/18 11:04,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/9/18 11:04,,2020/9/25 8:16,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/9/25 8:16,,,
,,,,,,Nomura,2020/9/18 11:16,2020/9/18 11:16,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/9/18 11:16,,2020/9/29 7:24,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/9/29 7:24,,,
,,,,,,Nomura,2020/9/18 11:20,2020/9/18 11:20,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/9/18 11:20,,2020/9/25 8:54,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/9/25 8:54,,,
,,,,,,Nomura,2020/9/18 11:23,2020/9/18 11:23,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/9/18 11:23,,2020/9/29 7:23,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/9/29 7:23,,,
,,,,,,Nomura,2020/9/24 3:45,2020/9/24 3:45,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Kent Loong,2020/9/24 3:45,,2020/9/24 5:28,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Kent Loong,,,,,,,,,,Nomura,,2020/9/24 5:28,,,
,,,,,,Nomura,2020/9/24 3:51,2020/9/24 3:51,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/9/24 3:51,,2020/10/1 5:50,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/10/1 5:50,,,
,,,,,,Nomura,2020/9/24 3:57,2020/9/24 3:57,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/9/24 3:57,,2020/9/25 8:29,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/9/25 8:29,,,
,,,,,,Nomura,2020/9/24 4:01,2020/9/24 4:01,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Kent Loong,2020/9/24 4:01,,2020/9/25 2:49,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Kent Loong,,,,,,,,,,Nomura,,2020/9/25 2:49,,,
,,,,,,Nomura,2020/9/24 5:54,2020/9/24 5:54,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Kent Loong,2020/9/24 5:54,,2020/9/25 7:08,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Kent Loong,,,,,,,,,,Nomura,,2020/9/25 7:08,,,
,,,,,,Nomura,2020/9/24 6:00,2020/9/24 6:00,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Kent Loong,2020/9/24 6:00,,2020/9/25 7:08,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Kent Loong,,,,,,,,,,Nomura,,2020/9/25 7:08,,,
,,,,,,Nomura,2020/10/2 2:52,2020/10/2 2:52,,title,"a
b

### Result
c
d",,,,,,,,,,,,,AUT-Iskandar,2020/10/2 2:52,,2020/10/5 0:57,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,AUT-Iskandar,,,,,,,,,,Nomura,,2020/10/5 0:57,,,
,,,,,,Nomura,2020/10/2 3:17,2020/10/2 3:17,,title,"a
b

### Result
c
d",,,,,,,,,,,,,AUT-Iskandar,2020/10/2 3:17,,2020/10/5 0:57,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,AUT-Iskandar,,,,,,,,,,Nomura,,2020/10/5 0:57,,,
,,,,,,Nomura,2020/10/2 3:31,2020/10/2 3:31,,title,"a
b

### Result
c
d",,,,,,,,,,,,,AUT-Iskandar,2020/10/2 3:31,,2020/10/5 0:57,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,AUT-Iskandar,,,,,,,,,,Nomura,,2020/10/5 0:57,,,
,,,,,,Nomura,2020/10/2 3:52,2020/10/2 3:52,,title,"a
b

### Result
c
d",,,,,,,,,,,,,AUT-Iskandar,2020/10/2 3:52,,2020/10/5 0:57,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,AUT-Iskandar,,,,,,,,,,Nomura,,2020/10/5 0:57,,,
,,,,,,Nomura,2020/10/2 3:57,2020/10/2 3:57,,title,"a
b

### Result
c
d",,,,,,,,,,,,,AUT-Iskandar,2020/10/2 3:57,,2020/10/6 3:08,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,AUT-Iskandar,,,,,,,,,,Nomura,,2020/10/6 3:08,,,
,,,,,,Nomura,2020/10/2 4:26,2020/10/2 4:26,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/10/2 4:26,,2020/10/6 3:02,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/10/6 3:02,,,
,,,,,,Nomura,2020/10/2 7:19,2020/10/2 7:19,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/10/2 7:19,,2020/10/9 2:33,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/10/9 2:33,,,
,,,,,,Nomura,2020/10/2 7:50,2020/10/2 7:50,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/10/2 7:50,,2020/10/9 2:56,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/10/9 2:56,,,
,,,,,,Nomura,2020/10/2 8:00,2020/10/2 8:00,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/10/2 8:00,,2020/10/14 7:33,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/10/14 7:33,,,
,,,,,,Nomura,2020/10/9 1:34,2020/10/9 1:34,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nur Diyana,2020/10/9 1:34,,2020/10/9 2:42,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nur Diyana,,,,,,,,,,Nomura,,2020/10/9 2:42,,,
,,,,,,Nomura,2020/10/9 1:49,2020/10/9 1:49,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nur Diyana,2020/10/9 1:49,,2020/10/9 2:04,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nur Diyana,,,,,,,,,,Nomura,,2020/10/9 2:04,,,
,,,,,,Nomura,2020/10/9 1:57,2020/10/9 1:57,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nur Diyana,2020/10/9 1:57,,2020/10/27 4:04,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nur Diyana,,,,,,,,,,Nomura,,2020/10/27 4:04,,,
,,,,,,Nomura,2020/10/9 2:10,2020/10/9 2:10,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nur Diyana,2020/10/9 2:10,,2020/10/27 4:03,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nur Diyana,,,,,,,,,,Nomura,,2020/10/27 4:03,,,
,,,,,,Nomura,2020/10/9 2:26,2020/10/9 2:26,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nur Diyana,2020/10/9 2:26,,2020/10/27 4:03,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nur Diyana,,,,,,,,,,Nomura,,2020/10/27 4:03,,,
,,,,,,Nomura,2020/10/9 2:26,2020/10/9 2:26,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nur Diyana,2020/10/9 2:26,,2020/10/27 4:03,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nur Diyana,,,,,,,,,,Nomura,,2020/10/27 4:03,,,
,,,,,,Nomura,2020/10/20 7:28,2020/10/20 7:28,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/10/20 7:28,,2020/10/23 5:55,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/10/23 5:55,,,
,,,,,,Nomura,2020/10/20 7:33,2020/10/20 7:33,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/10/20 7:33,,2020/10/22 5:35,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/10/22 5:35,,,
,,,,,,Nomura,2020/10/20 9:22,2020/10/20 9:22,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/10/20 9:22,,2020/10/22 5:35,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/10/22 5:35,,,
,,,,,,Nomura,2020/10/9 2:26,2020/10/9 2:26,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nur Diyana,2020/10/9 2:26,,2020/10/27 4:03,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nur Diyana,,,,,,,,,,Nomura,,2020/10/27 4:03,,,
,,,,,,Nomura,2020/10/21 7:21,2020/10/21 7:21,,title,"a
b

### Result
c
d",,,,,,,,,,,,,AUT-Iskandar,2020/10/21 7:21,,2020/10/26 14:40,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,AUT-Iskandar,,,,,,,,,,Nomura,,2020/10/26 14:40,,,
,,,,,,Nomura,2020/10/27 3:41,2020/10/27 3:41,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Kent Loong,2020/10/27 3:41,,2020/10/30 8:43,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Kent Loong,,,,,,,,,,Nomura,,2020/10/30 8:43,,,
,,,,,,Nomura,2020/10/27 3:46,2020/10/27 3:46,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Kent Loong,2020/10/27 3:46,,2020/10/30 8:43,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Kent Loong,,,,,,,,,,Nomura,,2020/10/30 8:43,,,
,,,,,,Nomura,2020/10/27 6:34,2020/10/27 6:34,,title,"a
b

### Result
c
d",,,,,,,,,,,,,AUT-Iskandar,2020/10/27 6:34,,2020/10/27 13:55,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,AUT-Iskandar,,,,,,,,,,Nomura,,2020/10/27 13:55,,,
,,,,,,AUT-Iskandar,2020/10/27 13:54,2020/10/27 13:54,,title,"a
b

### Result
c
d",,,,,,,,,,,,,AUT-Iskandar,2020/10/27 13:54,,2020/10/27 14:30,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,AUT-Iskandar,,,,,,,,,,AUT-Iskandar,,2020/10/27 14:30,,,
,,,,,,Nomura,2020/11/4 7:29,2020/11/4 7:29,,title,"a
b

### Result
c
d",,,,,,,,,,,,,Nomura,2020/11/4 7:29,,2020/11/9 5:42,,,"### Content
a
b

### Result
c
d","### Content
a
b

### Result
c
d",,,,,Nomura,,,,,,,,,,Nomura,,2020/11/9 5:42,,,
