Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
197,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/197,MS004 : 邏榊刀蜈医・繧ｹ繧ｿ讀懃ｴ｢ / Search_Deliver_Destination : Add button position mismatch,Closed,"'# 竊摘nter when creating defect issue竊・

## Defect Summary
Add button is positioned differently with OLD_LOMOS  
  

## References / Evidences
**In OLD LOMOS**  
<img src=""/uploads/f1b1d268fa49488be36cf5e70a3899f7/image.png"" width=""512"">縲縲
<img src=""/uploads/16814275b753df799178629d9d5ba6db/image.png"" width=""512"">縲縲

**In NEW LOMOS**  
<img src=""/uploads/007921e01eda821546bf3a549e4eae20/image.png"" width=""512"">縲縲
<img src=""/uploads/ffab98655a7593879ab0ac1f6cddcd8b/image.png"" width=""512"">縲縲


## Function With Error
UI Layout  
  
## What Error Occurred
Add button is not at expected position for both   
1. Page init show  
2. After search is run  
  
## Operation Procedure
1. None  
2. Click search with no search parameter  
  
## Expected Result
1. Add button is shown at footer of page  
2. Add button is shown at same place, at footer of page  

## Actual Result
1. Add button is shown right under header of page  
2. Add button is moved from initial position  

---

# 竊摘nter when issue is resolved竊・

## What was the direct cause?
Enter the direct cause of this

## What was the root cause?
Enter the root cause of this

## How can this be prevented from next time?
Enter how to prevent, so it will not happen in future

## What was changed to resolve this?
Enter which files/settings you have updated

## How was it changed to resolve this?
Enter what/how each files/settings have been updated",Nomura,nomura,Nomura,nomura,No,No,,2020/9/18 10:13,2020/9/25 8:17,2020/9/25 8:17,,,"Defect-PT-InternalReview,Doing",0,0
199,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/199,MS004 : 邏榊刀蜈医・繧ｹ繧ｿ讀懃ｴ｢ / Search_Deliver_Destination :  Search result message is missing,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Message telling search result count is missing.   

## References / Evidences  
**In OLD LOMOS**  
<img src=""/uploads/3983a234871e0d83ce951ba1734b64e1/image.png"">縲
  
**In NEW LOMOS**  
<img src=""/uploads/d3e173c8efc6fb701922da452a615303/image.png"">縲

## Function With Error  
Log Message  

## What Error Occurred  
Message at header, when search is success is missing  

## Operation Procedure  
1. Click search with LESS than 3 criteria, AND deliver destination code NOT filled in  
2. 1 or more result is shown  

## Expected Result  
1. Message is shown, telling how many result is found  

## Actual Result  
1. No message is shown  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/18 10:55,2020/9/25 8:16,2020/9/25 8:16,,,"Defect-PT-InternalReview,Doing",0,0
200,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/200,MS004 : 邏榊刀蜈医・繧ｹ繧ｿ讀懃ｴ｢ / Search_Deliver_Destination : Button Alignment,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Button is not aligned, and balance is not good  

## References / Evidences  
**In MS004**  
![image](/uploads/328ea2bbdf8c1bc28395a0967c2acdb4/image.png)  

## Function With Error  
Button layout  

## What Error Occurred  
Currenlty, each buttons are not aligned, and is shown not balanced well  
  
## Operation Procedure  
None  

## Expected Result  
Buttons are aligned like following image  
1. Right edge is aligned with header block area.  
2. Right edge of Add button is also aligned with right edge of Clear button.  
 
**Sample**  
![image](/uploads/55f143913efc4615ce9ae468cdfda88f/image.png)  

## Actual Result  
1. Button is not aligned  
  
**In MS004**  
![image](/uploads/328ea2bbdf8c1bc28395a0967c2acdb4/image.png)  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/18 11:04,2020/9/25 8:16,2020/9/25 8:16,,,"Defect-PT-InternalReview,Doing",0,0
202,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/202,MS004 : 邏榊刀蜈医・繧ｹ繧ｿ讀懃ｴ｢ / Search_Deliver_Destination : Tool Tip Implementation,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Tool Tip for deliver destination name is missing   

## References / Evidences  
**In OLD LOMOS**  
![image](/uploads/9aea3d30ee0a0f6a26ceb823bda10108/image.png)  

## Function With Error  
Tool Tip    

## What Error Occurred  
Tool Tip is not shown on deliver destination name   

## Operation Procedure  
1. Move cursor over deliver destination name    

## Expected Result  
Tool tip is shown like this  
![image](/uploads/9aea3d30ee0a0f6a26ceb823bda10108/image.png)    

## Actual Result  
Tool tip is missing  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/18 11:16,2020/9/29 7:24,2020/9/29 7:24,,,"Defect-PT-InternalReview,Doing",0,0
203,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/203,[To Be Checked] MS004 : 邏榊刀蜈医・繧ｹ繧ｿ讀懃ｴ｢ / Search_Deliver_Destination : 1 Page Item Count,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Table shows only 10 items per page    

## References / Evidences  
<img src=""/uploads/3b6b24dfb66fe6e1e39c9bacb441d087/image.png"" width=""512"">縲  

## Function With Error  
Max item shown in 1 page    

## What Error Occurred  
Page only shows 10 items    

## Operation Procedure  
Run any search with more than 10 result  

## Expected Result  
1 page shows maximum of 200 items  

## Actual Result  
1 page shows maximum of 10 items  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/18 11:20,2020/9/25 8:54,2020/9/25 8:54,,,"Defect-PT-InternalReview,Doing",0,0
204,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/204,MS004 : 邏榊刀蜈医・繧ｹ繧ｿ讀懃ｴ｢ / Search_Deliver_Destination :  Button layout in table item,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Setting button is missing margin.  

## References / Evidences  
![image](/uploads/5cd103702c0ac3638ab222a006a63294/image.png)![image](/uploads/c40b93fc64f8f93471138d8656c94c1f/image.png)

## Function With Error  
Layout  

## What Error Occurred  
Button is missing margin, causing each buttons to be squashed to each other    

## Operation Procedure  
Run any search with more than 1 result    

## Expected Result  
Button is shown like OLD_LOMOS, with margin  

## Actual Result  
Button is shown without margin  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/18 11:23,2020/9/29 7:23,2020/9/29 7:23,,,"Defect-PT-InternalReview,Doing,QA",0,0
213,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/213,NK013 : 蜈･蠎ｫ騾ｲ謐・: Footer area is not shown,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Footer area and message is not shown.  

## References / Evidences  
**In OLD LOMOS**  
Footer area, message is shown.
![image](/uploads/9a78da4d09ff45d944d70d0b13817b32/image.png)    
  
**In NEW LOMOS**  
Footer area, message is not shown.    
![image](/uploads/7326f365d31a71fcc7a559e91e5ae816/image.png)  

## Function With Error  
UI    

## What Error Occurred  
1. Footer area not shown.  
2. Message of how many item is found, is not shown.  
  
## Operation Procedure  
None  

## Expected Result  
Like old lomos, footer area exists with message.  

## Actual Result  
No footer area, with no message.    

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
MONITOR  

## What was the root cause?  
MONITOR RESOLUTION  

## How can this be prevented from next time?  
Company to buy better equiptments.  

## What was changed to resolve this?  
Monitor  

## How was it changed to resolve this?  
Switch to use better monitor  

## References / Evidences  
![image](/uploads/3774d4fda0bb6e1b72dc04ceb1838fac/image.png)  ",Nomura,nomura,Kent Loong,kentloong,No,No,,2020/9/24 3:45,2020/9/24 5:29,2020/9/24 5:28,,,Defect-PT-InternalReview,0,0
214,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/214,NK013 : 蜈･蠎ｫ騾ｲ謐・: Table height mismatch,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Horizontal line positioning is not match for button column, and code column.  

## References / Evidences  
**In OLD LOMOS**  
![image](/uploads/eeae9c3dd5b18931d37be8fa56ca7292/image.png)
  
**In NEW LOMOS**  
![image](/uploads/b4afb187f462b36461fe6db8fbe89cb6/image.png)  

## Function With Error  
UI  

## What Error Occurred  
Border of table does not match other cells    

## Operation Procedure  
None  

## Expected Result  
Horizontal border is always at same Y Pos for whole row.  

## Actual Result  
Horizontal border Y Pos is differect at detail button column, and every other column.  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/24 3:51,2020/10/1 5:50,2020/10/1 5:50,,,"Defect-PT-InternalReview,Doing,QA",0,0
215,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/215,NK013 : 蜈･蠎ｫ騾ｲ謐・: Data shown on incorrect date,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Data for item count, case count is shown on wrong date  

## References / Evidences  
**In OLD LOMOS**  
![image](/uploads/90261947256e955819203bca37a5aa94/image.png)

**In NEW LOMOS**  
![image](/uploads/87e947966aade6924061c98920321fcd/image.png)
  
## Function With Error  
Table content  

## What Error Occurred  
Data for ""Today"" is shown at BOTH ""Today"" and ""Tomorrow"" area.  

## Operation Procedure  
None  

## Expected Result  
Cells only show data related to that date.    

## Actual Result  
Both ""Today"" and ""Tomorrow"" shows same data.  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/24 3:57,2020/9/25 8:29,2020/9/25 8:29,,,"Defect-PT-InternalReview,Doing",0,0
216,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/216,NK013 : 蜈･蠎ｫ騾ｲ謐・: Missing comma for numbers,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
"","" is missing for header area  

## References / Evidences  
**In OLD LOMOS**    
![image](/uploads/156a52178decded973206b00c34c90e0/image.png)  
  
**In NEW LOMOS**  
![image](/uploads/3f306124f584da655519d959f59a284d/image.png)    

## Function With Error  
Comma indicator for numbers    

## What Error Occurred  
When number is over 4 digit, it should have comma for each fields,  
but in NEW LOMOS comma is missing.  
Please check for each cells like ""item"", ""case"", ""plan"", ""actual"" just in case.  
  
## Operation Procedure  
None  

## Expected Result  
Each number with more than 4 digit will have comma  

## Actual Result  
Missing comma  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Html pg mistake

## What was the root cause?  
Missing comma  

## How can this be prevented from next time?  
double check and compare UI screen 

## What was changed to resolve this?  
Html code

## How was it changed to resolve this?  
Update Html code  

## References / Evidences  
![image](/uploads/2a5a1bbedd63b878e20809264a9433ec/image.png)",Nomura,nomura,Kent Loong,kentloong,No,No,,2020/9/24 4:01,2020/9/25 3:28,2020/9/25 2:49,,,Defect-PT-InternalReview,0,0
